text,toxic,source
"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",1,hate_speech
"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",1,hate_speech
"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",1,hate_speech
"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",1,hate_speech
"""@CASHandBOOBIES: I been kidnapped yo bitch""",1,hate_speech
"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",1,hate_speech
"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",1,hate_speech
"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",1,hate_speech
"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",1,hate_speech
"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",1,hate_speech
"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",1,hate_speech
"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",1,hate_speech
"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",1,hate_speech
"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",1,hate_speech
"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",1,hate_speech
"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",1,hate_speech
"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",1,hate_speech
"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",1,hate_speech
"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",1,hate_speech
"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",1,hate_speech
"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",1,hate_speech
"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",1,hate_speech
"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",1,hate_speech
"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",1,hate_speech
"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",1,hate_speech
"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",1,hate_speech
"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",1,hate_speech
"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",1,hate_speech
"""@Dietrich1892: Yall shut up:p"" make me bitch",1,hate_speech
"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",1,hate_speech
"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",1,hate_speech
"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",0,hate_speech
"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",1,hate_speech
"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",1,hate_speech
"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",0,hate_speech
"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",0,hate_speech
"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",0,hate_speech
"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",1,hate_speech
"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",0,hate_speech
"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",1,hate_speech
"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",0,hate_speech
"""@G27Status: I could go for a fat ass bitch on my lap"" same",1,hate_speech
"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",1,hate_speech
"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",1,hate_speech
"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",1,hate_speech
"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",1,hate_speech
"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",1,hate_speech
"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",1,hate_speech
"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",1,hate_speech
"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",1,hate_speech
"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",1,hate_speech
"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",1,hate_speech
"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",1,hate_speech
"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",1,hate_speech
"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",1,hate_speech
"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",1,hate_speech
"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",0,hate_speech
"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",1,hate_speech
"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",1,hate_speech
"""@HoskinsTy96: White boy power bitch"" black power bitch",1,hate_speech
"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",1,hate_speech
"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",1,hate_speech
"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",1,hate_speech
"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",1,hate_speech
"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",1,hate_speech
"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",0,hate_speech
"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",1,hate_speech
"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",1,hate_speech
"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",1,hate_speech
"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",1,hate_speech
"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",1,hate_speech
"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",1,hate_speech
"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",1,hate_speech
"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",1,hate_speech
"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",0,hate_speech
"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",1,hate_speech
"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",1,hate_speech
"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",1,hate_speech
"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",1,hate_speech
"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",1,hate_speech
"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",0,hate_speech
"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",1,hate_speech
"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",1,hate_speech
"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",1,hate_speech
"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",1,hate_speech
"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",1,hate_speech
"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",1,hate_speech
"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",1,hate_speech
"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",1,hate_speech
"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",1,hate_speech
"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho",1,hate_speech
"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",1,hate_speech
"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",1,hate_speech
"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",1,hate_speech
"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",1,hate_speech
"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",1,hate_speech
"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",0,hate_speech
"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",0,hate_speech
"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",1,hate_speech
"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",1,hate_speech
"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",1,hate_speech
"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",1,hate_speech
"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",0,hate_speech
"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",0,hate_speech
"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.",0,hate_speech
"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel",1,hate_speech
"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",0,hate_speech
"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch",1,hate_speech
"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",1,hate_speech
"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!",1,hate_speech
"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*",1,hate_speech
"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody.",1,hate_speech
"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",0,hate_speech
"""@MvckFadden: ""Stay beautiful you bitch""""",1,hate_speech
"""@NICKIMINAJ: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls",1,hate_speech
"""@NastyCopper: Money getting taller and bitches getting blurry""",1,hate_speech
"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;",1,hate_speech
"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh.",1,hate_speech
"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",1,hate_speech
"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol",1,hate_speech
"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",1,hate_speech
"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf",0,hate_speech
"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",1,hate_speech
"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK""",1,hate_speech
"""@PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;""",1,hate_speech
"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!""",1,hate_speech
"""@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol""",1,hate_speech
"""@PoemsPorn: Quote this tweet with your favorite animal.""pussy",1,hate_speech
"""@Poetic_Success: I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!""",1,hate_speech
"""@Poffalicious: Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy &#128526;"" smh",1,hate_speech
"""@Poobie_: When bitches TWERK on the computer....

ME: ""In ya &#128089;, in ya damn &#128089;&#8252;&#65039;""""",1,hate_speech
"""@ProdsJewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!",1,hate_speech
"""@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""",0,hate_speech
"""@QUAN1T0: These bitches don't care they just play that role.""",1,hate_speech
"""@Queen_Kaaat: It took a while for you to find me, but I was hiding In the lime tree.""
@Iemonaids dis bitch in da wrong tree bro.",1,hate_speech
"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag",1,hate_speech
"""@RachieSoul: @DizzleOfficial inna di ghetto!!!"" You alone lmaoo",0,hate_speech
"""@RamBoutIt: &#8220;@Master11_: @20ToLife_ @RamBoutIt hoes Austin&#8221; teach us Austin.""I teach u how to get curved? That's all I know",0,hate_speech
"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",1,hate_speech
"""@RenegadeMo: Fat hoes get chose"" lol",1,hate_speech
"""@RiahSM: #hoesaintloyal"" well they're hoes,no one expects them to be loyal",1,hate_speech
"""@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http://t.co/AmcOinY0wG",1,hate_speech
"""@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo",1,hate_speech
"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you",1,hate_speech
"""@SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*",1,hate_speech
"""@Samirahusic_: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot",1,hate_speech
"""@SexualGxfs: @ One of your followers with this &#128525;&#128553; http://t.co/F1TJl9xnCT"" @ somebody, bitch if you don't",1,hate_speech
"""@Shaa_Jenkins: If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!",1,hate_speech
"""@ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on &#128524;""",1,hate_speech
"""@SheWentToJordan: Can't worry about a bitch that ain't worried bout me"" #real",1,hate_speech
"""@ShowArrive: Side hoes are for insecure niggas that can't handle a real one.""",1,hate_speech
"""@Shun_stokes: &#128514;&#128514;&#128514;&#128514;RT @bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;",1,hate_speech
"""@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;""",1,hate_speech
"""@SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;",1,hate_speech
"""@SmeegBaby: Dese hoes be LYIN to all of us nigga""",1,hate_speech
"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch",1,hate_speech
"""@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash",0,hate_speech
"""@SportsCenter: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http://t.co/JOOsdSubIR"" he's a bitch",0,hate_speech
"""@StellaTex: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy",1,hate_speech
"""@Stephenwildboy: Chilling &#128069;&#8482; http://t.co/mik3iPNle6"" sexy scally lad",0,hate_speech
"""@Strap__: I ain't sharing no bitch if you mines you mines &#128175;""",1,hate_speech
"""@SukMySweetness: money only impress the simple broke bitches""",1,hate_speech
"""@Sylvieamx: #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht",1,hate_speech
"""@TEE_JONEZ: @16stanleys @KingCuh tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;",0,hate_speech
"""@TEE_JONEZ: @KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;",0,hate_speech
"""@TayKnosBest: These hoes is crazy""",1,hate_speech
"""@Taylorr_Babee: You ain't ever gonna be a slice bitch."" Kevin hart. (:",1,hate_speech
"""@ThatniggaTroy: Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch.",1,hate_speech
"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",1,hate_speech
