text,true_label,bert_prediction,bert_confidence,gpt2_explanation,gpt2_message,correct
Who would you get to kill the children and other members of their family?,0,1,0.5462141633033752,"toxic language can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
"RT @Mr_MshkL: &#1589;&#1608;&#1585;&#1577; &#1604;&#1591;&#1575;&#1574;&#1585; &#1575;&#1604;&#1603;&#1575;&#1585;&#1583;&#1610;&#1606;&#1575;&#1604; &#1575;&#1604;&#1571;&#1581;&#1605;&#1585; &#1575;&#1604;&#1605;&#1605;&#1610;&#1586;&#1548; &#1571;&#1581;&#1583; &#1588;&#1582;&#1589;&#1610;&#1575;&#1578; &#1604;&#1593;&#1576;&#1577; &#1575;&#1604;&#1591;&#1610;&#1608;&#1585; &#1575;&#1604;&#1594;&#1575;&#1590;&#1576;&#1577; angry birds &#1575;&#1604;&#1588;&#1607;&#1610;&#1585;&#1577; !
&#8226; http://t.co/0lowkClb",0,1,0.6621113419532776,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
"@Pacman_Dre_SB I said something to you gorilla, stop listening to monkey music",1,0,0.6171440482139587,,Comment is safe,False
Krantz is the crazy lady who owns the restaurant.,0,1,0.6912528276443481,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
"Allergies have my eyes all red and chink eyed, I look like I'm stoned",1,0,0.5818024277687073,,Comment is safe,False
that is ridiculously absurd. having THC in your system does not mean you were driving while on drugs as this drug can stay in a body for 6 months after consumed.,0,1,0.611788272857666,"it includes threatening language. Wishing harm on others creates a hostile environment and is never acceptable. Consider saying any of the following:
- I'm angry, but I want to address this constructively.
- This really upset me, and I need to say that clearly.
- Let's deal with the issue directly instead of escalating it.",,False
RT @FunnyOGtweets: When rednecks fool around with the aux cord http://t.co/Tyzuro7qR5,0,1,0.8676862120628357,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
Don't make any useless statements for not knowing that the Russian are in Ukraine,0,1,0.5614592432975769,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
LTD needs to be neutered.,1,0,0.7030761241912842,,Comment is safe,False
"""It’s 8 (eight) blocks to the bus stop for me. If it’s good enough for me at 71 it’s good enough for her at 90."" Oh really? What kind of a person knows what's good for others? The arrogant with cruel disregard. Shame on you.",1,0,0.752445638179779,,Comment is safe,False
"Socialists have neither brains, heart, nor courage.  Socialists,  otherwise known as redistributionists,  depend on government raiders to take what belongs to one person through the power and intimidation of government to be redistributed to others according to what government deems is ""fair"".  Socialists are thieves disguised as do gooders creating dependent and incompetent masses.",1,0,0.8009999990463257,,Comment is safe,False
there is no evidence that he was a muslim it sounds more like he was schizophrenic .,1,0,0.7638730406761169,,Comment is safe,False
"Right. The homeowner--playing cop--told the guy to stop. The guy then ""shoved the [homeowner] guy causing minor injuries...Tallman eventually charged the homeowner. "" Gee, I wonder why the guy charged the homeowner who was playing cop? I wonder why the wanna-be cop homeowner didn't get out of the way and let the police do their work? Could it be that he was emboldened by carrying a gun?  Any excuse to justify pulling a gun and shooting someone. He's lucky he didn't kill him and lucky the guy didn't have a gun of his own. Pure stupidity.",1,0,0.9888851642608643,,Comment is safe,False
@Pepper_Redbone @Yankees @Mets Oh yeah. And the annoying damn duck calls?? They outta be banned. Duck horns??,0,1,0.6409842371940613,"it contains inappropriate content. There are better ways to express your thoughts constructively. Consider saying any of the following:
- Let me rephrase that in a more appropriate way.
- I can say that more clearly and respectfully.
- Here's a better way to express that.",,False
Aye a nicca is tired tho!,0,1,0.9940896034240723,"it contains inappropriate content. There are better ways to express your thoughts constructively. Consider saying any of the following:
- Let me rephrase that in a more appropriate way.
- I can say that more clearly and respectfully.
- Here's a better way to express that.",,False
@HalleyBrenks3 interesting #hick,0,1,0.8981442451477051,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
This store is SO redneck...,0,1,0.553004264831543,"it includes threatening language. Wishing harm on others creates a hostile environment and is never acceptable. Consider saying any of the following:
- I'm angry, but I want to address this constructively.
- This really upset me, and I need to say that clearly.
- Let's deal with the issue directly instead of escalating it.",,False
"While I'm not a religious person by any stretch of the imagination, I'm beginning to think that Trump may be a close resemblance of the Anti-Christ.  He's dazzling right-wingers by the millions, wields insults against women, tramples on our liberties, and comes across as an anointed evil narcissist.  Frightening that Trump will be taking over the Republican Party.  Shake hands with the Devil and you'll get burned.  The Republican Party is sizzling.",1,0,0.9695698618888855,,Comment is safe,False
"If you can't deal with a dog, then you should not be allowed to have one. Please find a humane person that is able to love and take care of this beautiful animal. You are a very sick person.",1,0,0.941075325012207,,Comment is safe,False
Ain't no love in the ghetto &#128148;,0,1,0.6829100251197815,"it includes threatening language. Wishing harm on others creates a hostile environment and is never acceptable. Consider saying any of the following:
- I'm angry, but I want to address this constructively.
- This really upset me, and I need to say that clearly.
- Let's deal with the issue directly instead of escalating it.",,False
Ion kno wat kinda spring clothes imma get my yung nicca dis year we ain't doin da polo dis year gotta offset em wit sumthin else,0,1,0.9367316365242004,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
I occasionally overhear people jokingly talk about how much the hockey team sucks.,0,1,0.5594968795776367,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
@cakedjake We're laying rock around our lake. You're welcome to join a redneck workout. #muscles &#128170;&#128513;,0,1,0.5375535488128662,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
bouchard has more brains than kournikova .,1,0,0.5661025047302246,,Comment is safe,False
The Bible calls you a fool who rebels against His moral authority and don't fear those who kill the body but cannot kill the soul; but rather be afraid of him -God/Jesus who has the power and authority  to destroy both soul and body in hell.,0,1,0.9583445191383362,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
"Good article Mr. Dingman.  The legislative system in Alaska is badly broken.  Simply changing the players is not the total solution if they don't follow their own procedural rules and instead continue to favor a standing caucus based on ""traditions"" instead of those written rules. 
 This standing caucus system has created a ""legislature within the legislature"".  Anyone from any party can join as long as they ""behave"".  
 Voters must ask these candidates if they will join a standing caucus that demands ""lock step"" voting for a final budget regardless of sustainability and to follow leadership on all procedural votes used to quash suggestions from non-caucus members.  Also will the candidate support the current legislative exemption from state open meeting law?  
Finally, great photo of the clown.   I particularly enjoy the irony that the clown in the photo is not smiling which means the photo could actually be a legislator on the way to the capital.",1,0,0.9994039535522461,,Comment is safe,False
"Sully is a big time cheater in his public and private life.  Sully cut the APD to the bone that triggered a wave in murders, robberies, and burglaries.  Cutting to far back in APD's police force was a ploy by Sully to make himself appear fiscally conservative as he was tapped to be Parnell's Lt. Governor.  Now Sully wants to continue pulling the mayoral strings by rounding up a posse of his Republican former mayor brethren to tie the hands of the current administration.",1,0,0.9690641760826111,,Comment is safe,False
why are these freshman so ghetto lmao,1,0,0.5679274201393127,,Comment is safe,False
wtf is wrong with people ?,1,0,0.6373839974403381,,Comment is safe,False
Expel me and ban this ip from the whole site,0,1,0.7397875189781189,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
"The GOP doesn't act on their values vs the left that doesn't even pretend to have any values. That's not a very tough call to make Ryan. Hillary Clinton will be indicted that much has become clear and crazy Bernie da Bomber wasn't even a successful senator...and values? No one ran from his values faster than Bernie. But lets start with the crazy part:

He wrote in the 1970s that the country was close to experiencing a nuclear apocalypse or ""death by poison gas."" He claimed cervical cancer was caused by women not experiencing enough orgasms

When he launched his campaign in May, this economic illiterate blamed the abundance of consumer goods for child hunger

Don’t forget how much women love being raped because Bernie hasn’t.",1,0,0.9851527214050293,,Comment is safe,False
"it was pigignorant , whiny and childish , but not uncivil .",1,0,0.6766347885131836,,Comment is safe,False
I have owned guns in this state for more than 50 years.  I have taught many many people  safe firearm usage and the 4 NRA rules of firearm safety . Last season I shot a legal bull moose and helped an 11 year old get his first two bucks on Kodiak.  I have a reloading bench in my basement.  I oppose this legislation.  I could not oppose this legislation more.  18 - 22 year old students with guns in the classroom.  Who is kidding who.  This is just plain stupid.,0,1,0.5084214806556702,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
"@Harry_Dillema @SvensTweet @wltrrr vraag t Sven,hij denkt: Hoe lichter van kleur, hoe beter het morele kompas werkt. Ik ben kleurenblind ;~)",1,0,0.7765896320343018,,Comment is safe,False
"Wow, that couldn't sound any more ludicrous",1,0,0.9241955876350403,,Comment is safe,False
Sometime I wish I wasn't colored,1,0,0.9810290932655334,,Comment is safe,False
Even the Federal government recognizes over bloated pork when they see it.,0,1,0.8575448393821716,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
"I like Bernie. He isn't a jerk and I think he's honest.

Too bad his ideas are unworkable.",0,1,0.6609625816345215,"it includes threatening language. Wishing harm on others creates a hostile environment and is never acceptable. Consider saying any of the following:
- I'm angry, but I want to address this constructively.
- This really upset me, and I need to say that clearly.
- Let's deal with the issue directly instead of escalating it.",,False
Are those assembly folks some kind of republican liberal? I thought Liberals had the peoples welfare in mind? Silly me......gosh.,0,1,0.5612946152687073,"it includes threatening language. Wishing harm on others creates a hostile environment and is never acceptable. Consider saying any of the following:
- I'm angry, but I want to address this constructively.
- This really upset me, and I need to say that clearly.
- Let's deal with the issue directly instead of escalating it.",,False
If they can buy it for a good price then be done with this silly nonsense. Moving to Atwood makes lawyers get richer and richer.,0,1,0.8952353596687317,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
Joe miller is insane,0,1,0.5616176128387451,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
RT @babiesdressup: What a silly little monkey &#128584; http://t.co/DMKLK4k147,0,1,0.8990105390548706,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
"Bij vraag wat is d naam van de engels des doods,dacht eerst Robert.Ik:Israel..uhm iets met Gargamel,hoe heet die kat ook al weer..oja Azrael",1,0,0.9330663681030273,,Comment is safe,False
These are insane and Cigars trash!? Foam done bumped his head RT @FoamWright: These are insane. Like so insane. http://t.co/5umpDoeORz,0,1,0.6804679036140442,"it includes threatening language. Wishing harm on others creates a hostile environment and is never acceptable. Consider saying any of the following:
- I'm angry, but I want to address this constructively.
- This really upset me, and I need to say that clearly.
- Let's deal with the issue directly instead of escalating it.",,False
"these non compliant dispensary owners are grinding on me.  are THEY the bad apples that are going to spoil it for all the legal, compliant marijuana users and sellers?  kind of want to go to my friendly neighborhood dispensary(s) and ask them if they have complied.  No?   i guess I will pay you 75% of the money you charge and i'll go ahead and put that other 25% in the mail to the IRS myself.   follow up question...are you nuts?  talk about killing the golden goose...",1,0,0.8837908506393433,,Comment is safe,False
and his parents are worse .,1,0,0.9279646873474121,,Comment is safe,False
Wrote the absolute worst paper of my life last week and still got a B+. Gotta love taking freshman English #retards,1,0,0.5785002112388611,,Comment is safe,False
he is corrupt which is unusual for a democrat .,1,0,0.757882297039032,,Comment is safe,False
you are the most racist person i have ever seen .,1,0,0.6084418296813965,,Comment is safe,False
@WarriorRN61 @mrgeology you inferred he tried to ho to Nam. He did not. He dodged it. He is no great leader.,0,1,0.731304407119751,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
You were an hour early for April Fools...,0,1,0.6552354097366333,"it includes threatening language. Wishing harm on others creates a hostile environment and is never acceptable. Consider saying any of the following:
- I'm angry, but I want to address this constructively.
- This really upset me, and I need to say that clearly.
- Let's deal with the issue directly instead of escalating it.",,False
you exemplify the ignorance of the western left.,0,1,0.5331737995147705,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
geekylesbianscientists: theblairbetch: douglasrichardsonships: kayla-bird: okay but consider this though:... http://t.co/zAHyXtaVvo,1,0,0.9600524306297302,,Comment is safe,False
@I_GotOne awe boy you smell like monkey sex,1,0,0.616401731967926,,Comment is safe,False
Lets keep your fetishes out of this and deal with the issue at hand.,0,1,0.7852265238761902,"it includes threatening language. Wishing harm on others creates a hostile environment and is never acceptable. Consider saying any of the following:
- I'm angry, but I want to address this constructively.
- This really upset me, and I need to say that clearly.
- Let's deal with the issue directly instead of escalating it.",,False
"My mom is so clueless to what's going on with me lol she like ""you can't trust negros witcha money"" lmfao whaaaat?",1,0,0.6234836578369141,,Comment is safe,False
@KingCuh @TEE_JONEZ io.. lol osi tangi! Haha a tuku ho tangible Terryn! Atunga ho fie lea lahi mai!,0,1,0.9288761615753174,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
my god you are ignorant,0,1,0.8062289953231812,"it includes threatening language. Wishing harm on others creates a hostile environment and is never acceptable. Consider saying any of the following:
- I'm angry, but I want to address this constructively.
- This really upset me, and I need to say that clearly.
- Let's deal with the issue directly instead of escalating it.",,False
Im glad I met this chick. Reminds me the trash I left behind,0,1,0.907044529914856,"it includes threatening language. Wishing harm on others creates a hostile environment and is never acceptable. Consider saying any of the following:
- I'm angry, but I want to address this constructively.
- This really upset me, and I need to say that clearly.
- Let's deal with the issue directly instead of escalating it.",,False
the definition pathetic is when one likes his own comment.,0,1,0.9689627289772034,"it includes threatening language. Wishing harm on others creates a hostile environment and is never acceptable. Consider saying any of the following:
- I'm angry, but I want to address this constructively.
- This really upset me, and I need to say that clearly.
- Let's deal with the issue directly instead of escalating it.",,False
"too funny. once again this emotional cripple editor has deleted my post after I received several thumbs up. To a liberal emotional cripple stating the truth is being uncivil, but I will always say in their defense, they can only work with the )&$% fer brains they were born with.",1,0,0.9770961403846741,,Comment is safe,False
Fitzpatrick is trash bruh,0,1,0.5130356550216675,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
"Oh, please make it a butt-ugly box like Capstone and the Hub. I like things to match and Eugene has become a Mecca for hideous design.",0,1,0.5316823720932007,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
republicans have become the party of evil in america .,1,0,0.6067529916763306,,Comment is safe,False
a sick dog must be put down .,1,0,0.6623716354370117,,Comment is safe,False
"RT @TooRacist: Some black guy at my school asked if there were colored printers in the library.

""It's 2014 man you can use any printer you&#8230;",1,0,0.7277910113334656,,Comment is safe,False
Seem like da colored folk be gettin in da way lately. I just sayin,1,0,0.8919280171394348,,Comment is safe,False
"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Fisting | Whipped Cream Fisting http://t.co/b4JCMCtEwq",1,0,0.7560880184173584,,Comment is safe,False
the free world doesnt need your ignorance .,0,1,0.8757689595222473,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
So I decided to drive to the good walmart where the colored folks don't go bc it's food here.,1,0,0.9640213251113892,,Comment is safe,False
"Jules Bailey would have us overlook his church's discriminatory policies simply because he says he disagrees with them.  And anyway, ""we're family"", as if it's just his crazy Uncle Imago Dei in the attic.

Mr. Baily's religion is his private business.  Nonetheless, as a candidate ""running to be a mayor for everybody"", the organizations he chooses to join are a very valid indicator of his beliefs and values.  (Jules, there are hundreds of churches which do not deny civil rights to the LBGT community.  Did you even look?)

Portlanders care deeply when a mayoral candidate chooses to join an organization which denies civil rights to any group.  What if Mr. Bailey chose to join an organization which denied civil rights to blacks?  Women? Moslems? 

As they say, Mr. Bailey, ""you can choose your friends but you can't choose your family."" In this case, you have chosen to affiliate yourself with ""family"" which denies the LBGT community full civil rights. Portland voters will not overlook this.",1,0,0.9966895580291748,,Comment is safe,False
"Virtually zero protections for LGBTQ persons in Alabama. Not a lot of acceptance, either. Think about queer Alabamian kids today?",0,1,0.5842922925949097,"it dismisses the other person entirely. You can disagree strongly without being disrespectful. Consider saying any of the following:
- Let's keep this conversation constructive.
- I want to respond honestly but respectfully.
- I disagree, but I'd rather keep this productive.",,False
Way to half ass it. You guys gave up in the middle of the night. You even came back the next day to do you photo for the article.,1,0,0.5038263201713562,,Comment is safe,False
@MeowMariss i thought i was the ghetto word for babe,0,1,0.5272279381752014,"it includes threatening language. Wishing harm on others creates a hostile environment and is never acceptable. Consider saying any of the following:
- I'm angry, but I want to address this constructively.
- This really upset me, and I need to say that clearly.
- Let's deal with the issue directly instead of escalating it.",,False
@discordianslip If you say one disparaging word about the Charlie Brown xmas special I will slash the tires on your car.,1,0,0.9332137703895569,,Comment is safe,False
"What is excuse for debacle before new sheriff? But....Mayor if you can step in to have city buy LIO for $32 million dollars just so legislators can look down from glass tower, then you take any tax plan and pay for our services with that $32 million. What, you and wife do cocktails with ""pilfer""? What is f,.......g wrong with these people. Pull your head out your pants and see that the citizens are really furious with you. Thid is so wrong in so many way. Isn't anyone listening. American's can be more destructive when angry. You leaders are flirting with your careers and lively hoods. Where is ACLU. Our rights are being threatened by idiots!  Course Marie and Louie didn't hear noise either. Neither did England!",1,0,0.9756895303726196,,Comment is safe,False
killer pit fighting dogs attract degenerate people .,1,0,0.7048197388648987,,Comment is safe,False
that was a good edit the polar bear is gay !,1,0,0.7739797234535217,,Comment is safe,False
every year this lady gets nuttier .,1,0,0.7140499949455261,,Comment is safe,False
yeah that's what all lousy comedians say when they bomb......you just weren't funny......so sorry and I hope your wittle feelweens are too hurt,0,1,0.5615003108978271,"it includes threatening language. Wishing harm on others creates a hostile environment and is never acceptable. Consider saying any of the following:
- I'm angry, but I want to address this constructively.
- This really upset me, and I need to say that clearly.
- Let's deal with the issue directly instead of escalating it.",,False
immoral people who should be driven out of office asap .,0,1,0.5053791403770447,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
You didn't hurt my feelings. Why would you assume you did? I enjoyed pointing out how Obama not attending the funeral is an example of the dumb attacks rampant in the GOP these days.,1,0,0.6308162808418274,,Comment is safe,False
trump dint order to fire black sportsmen.,0,1,0.7143914699554443,"the language here is unnecessarily harsh. Strong words can make people defensive and stop listening to what you have to say. Consider saying any of the following:
- I feel strongly about this, and here's my honest view.
- I'm really frustrated by this situation.
- I strongly disagree with that position.",,False
I'm sure @AFP would add this helpful parenthetical explanation if these were redneck peckerwood teabaggers. https://t.co/zkqg5WfE5R,1,0,0.5611305832862854,,Comment is safe,False
